OBJECTID,ROW_TYPE,GEOGRAPHY,GEOGRAPHY_ID,CALENDAR_YEAR,CALENDAR_MONTH,OFFENSE_DESCRIPTION,OFFENSE_COUNT
14,CMPD Jurisdiction,CMPD,0,2016,03,"Aggravated Assault-Fists,Feet, etc.",11
15,CMPD Jurisdiction,CMPD,0,2016,01,Aggravated Assault-Knife,43
17,CMPD Jurisdiction,CMPD,0,2016,06,Aggravated Assault-Gun,245
21,CMPD Jurisdiction,CMPD,0,2016,09,Aggravated Assault-Other Weapon,88
111,CMPD Jurisdiction,CMPD,0,2016,02,"Aggravated Assault-Fists,Feet, etc.",8
112,CMPD Jurisdiction,CMPD,0,2016,02,Aggravated Assault-Other Weapon,53
114,CMPD Jurisdiction,CMPD,0,2016,02,Aggravated Assault-Knife,40
117,CMPD Jurisdiction,CMPD,0,2016,07,Aggravated Assault-Knife,63
118,CMPD Jurisdiction,CMPD,0,2016,06,"Aggravated Assault-Fists,Feet, etc.",11
122,CMPD Jurisdiction,CMPD,0,2016,09,Aggravated Assault-Gun,207
125,CMPD Jurisdiction,CMPD,0,2016,11,Aggravated Assault-Knife,54
206,CMPD Jurisdiction,CMPD,0,2016,01,Aggravated Assault-Gun,221
209,CMPD Jurisdiction,CMPD,0,2016,04,Aggravated Assault-Gun,201
211,CMPD Jurisdiction,CMPD,0,2016,05,"Aggravated Assault-Fists,Feet, etc.",14
213,CMPD Jurisdiction,CMPD,0,2016,04,Aggravated Assault-Other Weapon,58
214,CMPD Jurisdiction,CMPD,0,2016,06,Aggravated Assault-Other Weapon,78
220,CMPD Jurisdiction,CMPD,0,2016,10,"Aggravated Assault-Fists,Feet, etc.",11
223,CMPD Jurisdiction,CMPD,0,2016,12,Aggravated Assault-Gun,218
224,CMPD Jurisdiction,CMPD,0,2016,11,Aggravated Assault-Other Weapon,48
312,CMPD Jurisdiction,CMPD,0,2016,03,Aggravated Assault-Gun,279
315,CMPD Jurisdiction,CMPD,0,2016,04,"Aggravated Assault-Fists,Feet, etc.",12
316,CMPD Jurisdiction,CMPD,0,2016,07,Aggravated Assault-Gun,268
318,CMPD Jurisdiction,CMPD,0,2016,08,Aggravated Assault-Knife,49
319,CMPD Jurisdiction,CMPD,0,2016,08,Aggravated Assault-Other Weapon,63
321,CMPD Jurisdiction,CMPD,0,2016,10,Aggravated Assault-Knife,42
413,CMPD Jurisdiction,CMPD,0,2016,01,Aggravated Assault-Other Weapon,40
415,CMPD Jurisdiction,CMPD,0,2016,04,Aggravated Assault-Knife,50
418,CMPD Jurisdiction,CMPD,0,2016,08,Aggravated Assault-Gun,215
422,CMPD Jurisdiction,CMPD,0,2016,09,"Aggravated Assault-Fists,Feet, etc.",17
423,CMPD Jurisdiction,CMPD,0,2016,10,Aggravated Assault-Other Weapon,70
